Meal Type,Food Name,Calories,Carbohydrates (g),Proteins (g),Fats (g),Vitamins (%),Hydration (%),Portion Size (g)
Dinner,Shakshuka with Whole Grain Bread,561,91,23,23,20,24,299
Dinner,Grilled Chicken Skewers with Greek Salad and Tzatziki Sauce,614,91,27,30,20,22,181
Dinner,"Buddha Bowl with Brown Rice, Chickpeas, Avocado Slices, Tofu Cubes, Creamy Tahini Dressing, Sesame Seeds, and a Drizzle of Sriracha Sauce",766,82,43,35,29,37,287
Dinner,"Miso-Glazed Tempeh with Sautéed Bok Choy, Brown Rice, Sesame Seeds, Steamed Broccoli, Sriracha, and a Sprinkle of Green Onions",779,70,48,24,17,10,188
Dinner,"Veggie Stir-Fry with Quinoa, Cashews, Fresh Cilantro, Lime, and a Sprinkle of Red Pepper Flakes",726,38,43,10,16,17,162
Dinner,Miso-Glazed Tempeh with Sautéed Bok Choy and Brown Rice,538,37,22,12,5,36,104
Dinner,Chickpea Curry with Basmati Rice,630,70,47,16,13,17,111
Dinner,"Cauliflower Fried Rice with Shrimp, Edamame, Scallions, Lime, Fresh Cilantro, Toasted Sesame Seeds, Teriyaki Sauce, and a Glass of Green Tea",432,77,42,32,28,14,198
Dinner,"Zucchini Noodles with Tomato Sauce, Fresh Basil, Parmesan Cheese, Black Pepper, Side of Garlic Bread, Glass of Red Wine, Decadent Dark Chocolate Dessert, and a Cup of Espresso",571,64,20,12,9,24,230
Dinner,"Miso-Glazed Tempeh with Sautéed Bok Choy, Brown Rice, Sesame Seeds, Steamed Broccoli, Sriracha, Green Onions, Drizzle of Soy Sauce, and a Side of Steamed Dumplings",656,34,45,32,18,16,126
Dinner,Spaghetti Squash with Garlic and Olive Oil,792,44,45,19,17,28,162
Dinner,Chickpea and Coconut Curry with Quinoa,751,81,48,13,9,32,242
Dinner,Grilled Chicken Skewers with Greek Salad,570,58,23,22,11,36,185
Dinner,"Black Bean and Sweet Potato Burritos with Fresh Salsa, Guacamole, and a Side of Spicy Salsa Verde",683,95,29,22,29,30,233
Dinner,"Caprese Stuffed Portobello Mushrooms with a Side Salad, Balsamic Vinaigrette, Fresh Basil, Dash of Black Pepper, Pine Nuts, Glass of Red Wine, Dark Chocolate-Covered Strawberries, and a Plate of Cheese and Crackers",683,57,31,21,24,39,289
Dinner,"Grilled Chicken Skewers with Greek Salad, Tzatziki Sauce, and Fresh Mint",730,91,20,10,29,36,289
Dinner,"Chickpea and Coconut Curry with Quinoa, Cilantro, Toasted Coconut, Lime, and a Dash of Red Pepper Flakes",520,32,26,15,12,36,236
Dinner,"Tuna Avocado Salad with Mixed Greens, Lemon Vinaigrette, Black Sesame Seeds, Sliced Almonds, Drizzle of Honey, Black Pepper, Side of Quinoa Salad, and a Chilled Glass of Iced Tea",717,66,20,28,14,21,251
Dinner,"Chickpea and Coconut Curry with Quinoa, Cilantro, Toasted Coconut, Lime, Dash of Red Pepper Flakes, Side of Naan Bread, Refreshing Mango Lassi, and a Bowl of Fresh Tropical Fruits",714,61,43,18,24,26,161
Dinner,Baked Salmon with Quinoa and Asparagus,451,41,49,16,6,12,212
Dinner,Eggplant Rollatini with Quinoa and Side Salad,500,85,36,36,21,11,229
Dinner,Veggie Stir-Fry with Quinoa and Cashews,619,83,42,14,5,10,246
Dinner,"Sushi Burrito with Brown Rice, Avocado, Cucumber, Sesame Seeds, Spicy Sriracha Mayo, Pickled Ginger, Edamame, Miso Soup, Seaweed Salad, and a Side of Tempura Vegetables",525,31,40,21,10,32,167
Dinner,"Eggplant Rollatini with Quinoa, Tomato Sauce, Basil, Side Salad, Balsamic Vinaigrette Dressing, and a Sprig of Fresh Parsley",602,85,46,26,10,33,168
Dinner,"Cauliflower Fried Rice with Shrimp, Edamame, and Scallions",771,99,41,20,20,25,196
Dinner,Tofu Stir-Fry with Broccoli and Carrots,600,88,25,25,7,29,286
Dinner,"Cauliflower Fried Rice with Shrimp, Edamame, and Scallions",745,96,38,29,11,29,260
Dinner,Caprese Stuffed Portobello Mushrooms with Side Salad,527,68,37,17,5,20,284
Dinner,Taco Salad with Lean Ground Turkey,550,60,49,19,7,16,243
Dinner,"Sushi Burrito with Brown Rice, Avocado, and Cucumber",745,89,36,11,5,25,239
Dinner,"Buddha Bowl with Brown Rice, Chickpeas, Avocado Slices, and a Drizzle of Tahini Sauce",436,61,46,32,13,18,198
Dinner,Vegetable Sushi Roll with Brown Rice,546,77,35,12,24,33,153
Dinner,Sweet Potato and Black Bean Tacos with Avocado,519,62,43,29,15,26,299
Dinner,"Sushi Burrito with Brown Rice, Avocado, Cucumber, Sesame Seeds, and a Spicy Sriracha Mayo",503,54,48,27,18,27,293
Dinner,Caprese Stuffed Portobello Mushrooms,709,64,35,38,13,13,260
Dinner,"Sushi Burrito with Brown Rice, Avocado, Cucumber, Sesame Seeds, Spicy Sriracha Mayo, Pickled Ginger, and a Side of Edamame",467,62,33,30,20,29,227
Dinner,Caprese Stuffed Portobello Mushrooms with Side Salad,791,36,22,26,5,25,286
Dinner,"Buddha Bowl with Brown Rice, Chickpeas, Avocado Slices, and a Drizzle of Tahini Sauce",770,51,33,39,10,15,208
Dinner,Sushi Salad with Seaweed and Cucumber,450,83,27,36,6,30,129
